{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1306.086648165279, 'shape_smoothness': 6.563004389990538, 'edge_consistency': 0.41465067041373893, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.20859798863403559, 'intensity_variance_error': nan, 'peak_intensity_consistency': 13.079158447659692, 'ge_normalized': 0.2844073757614789, 'ge': 1394.3332767072354, 'spatial_spread_error': 17.173043737403685, 'gap_error': 0.3683205512755285}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1306.086648165279, 'shape_smoothness': 6.563004389990538, 'edge_consistency': 0.41465067041373893, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.20859798863403559, 'intensity_variance_error': nan, 'peak_intensity_consistency': 13.079158447659692, 'ge_normalized': 0.2844073757614789, 'ge': 1394.3332767072354, 'spatial_spread_error': 17.173043737403685, 'gap_error': 0.3683205512755285}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1306.086648165279, 'shape_smoothness': 6.563004389990538, 'edge_consistency': 0.41465067041373893, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.20859798863403559, 'intensity_variance_error': nan, 'peak_intensity_consistency': 13.079158447659692, 'ge_normalized': 0.2844073757614789, 'ge': 1394.3332767072354, 'spatial_spread_error': 17.173043737403685, 'gap_error': 0.3683205512755285}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 801.7174031642116, 'shape_smoothness': 5.615264927790528, 'edge_consistency': 123.88446470159181, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.16476175632851245, 'intensity_variance_error': nan, 'peak_intensity_consistency': 14.871784274501435, 'ge_normalized': 0.30126219318743974, 'ge': 1321.9781146689447, 'spatial_spread_error': 13.9230033701636, 'gap_error': 0.36866657856482093}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 801.7174031642116, 'shape_smoothness': 5.615264927790528, 'edge_consistency': 123.88446470159181, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.16476175632851245, 'intensity_variance_error': nan, 'peak_intensity_consistency': 14.871784274501435, 'ge_normalized': 0.30126219318743974, 'ge': 1321.9781146689447, 'spatial_spread_error': 13.9230033701636, 'gap_error': 0.36866657856482093}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 7855.0496453900705, 'shape_smoothness': 8.395044724935927, 'edge_consistency': 0.15917320306253094, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.0887485559874739, 'intensity_variance_error': nan, 'peak_intensity_consistency': 17.01561943377388, 'ge_normalized': 0.44455603448575276, 'ge': 950.9231991359045, 'spatial_spread_error': 21.70059987856186, 'gap_error': 0.3645936861742333}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1167.0709219858156, 'shape_smoothness': 7.792058697579048, 'edge_consistency': 0.208450011351995, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.09587556942429937, 'intensity_variance_error': nan, 'peak_intensity_consistency': 16.591364997514233, 'ge_normalized': 0.3890158744213786, 'ge': 1032.2204194858914, 'spatial_spread_error': 18.745890620448353, 'gap_error': 0.3665396182113507}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 6664.184397163121, 'shape_smoothness': 8.148720700174957, 'edge_consistency': 0.16635646461160228, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.09156235891500131, 'intensity_variance_error': nan, 'peak_intensity_consistency': 17.37424040117121, 'ge_normalized': 0.4334562535962284, 'ge': 982.6750169343252, 'spatial_spread_error': 21.19122633478555, 'gap_error': 0.36557790965085796}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 909.6416491310109, 'shape_smoothness': 9.830560895170946, 'edge_consistency': 6.087083535867475, 'edge_intensity_error': 0.015591947910411652, 'intensity_gradient_error': 0.353478653056869, 'intensity_variance_error': 0.3344146066843697, 'peak_intensity_consistency': 14.176959724404476, 'ge_normalized': 0.3009655732028668, 'ge': 1326.5539210510108, 'spatial_spread_error': 20.362394006988676, 'gap_error': 0.6488069694678159}
{'weights': [0.05, 0.05, 0.1, 0.7999999999999999], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 910.8724183617801, 'shape_smoothness': 9.835403154313857, 'edge_consistency': 6.086994094550245, 'edge_intensity_error': 0.015678466042279297, 'intensity_gradient_error': 0.3537819930191646, 'intensity_variance_error': 0.33472813617080327, 'peak_intensity_consistency': 14.15098084109151, 'ge_normalized': 0.3009957288873409, 'ge': 1327.4908298770426, 'spatial_spread_error': 20.339305352599418, 'gap_error': 0.6488071093120155}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 909.6416491310109, 'shape_smoothness': 9.830560895170946, 'edge_consistency': 6.087083535867475, 'edge_intensity_error': 0.015591947910411652, 'intensity_gradient_error': 0.353478653056869, 'intensity_variance_error': 0.3344146066843697, 'peak_intensity_consistency': 14.176959724404476, 'ge_normalized': 0.3009655732028668, 'ge': 1326.5539210510108, 'spatial_spread_error': 20.362394006988676, 'gap_error': 0.6488069694678159}
