{'DP': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755291652999696, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692614605906249, 'intensity_gradient_error': 0.10438533958790377, 'intensity_variance_error': 0.12296031794448942, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356231008851818, 'ge': 1031.8811563632055, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.011, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213634723593866, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016867690143741306, 'intensity_gradient_error': 0.10437586136766788, 'intensity_variance_error': 0.12294045244241646, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360186298639388, 'ge': 1031.7295426414303, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.020999999999999998, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213636425050225, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.001686773653322553, 'intensity_gradient_error': 0.10437592410799335, 'intensity_variance_error': 0.12294053081069964, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.13601936036277, 'ge': 1031.729506498479, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.030999999999999996, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755291317967725, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692616477274333, 'intensity_gradient_error': 0.10438536493457294, 'intensity_variance_error': 0.12296034965544575, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356233960371238, 'ge': 1031.8811410519475, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.040999999999999995, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213660917822968, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868404281958245, 'intensity_gradient_error': 0.10437682721366005, 'intensity_variance_error': 0.12294165890293135, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360298754384932, 'ge': 1031.72898627366, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.05099999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213601078415221, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016866772755318544, 'intensity_gradient_error': 0.10437462062065356, 'intensity_variance_error': 0.12293890269970238, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.136004183684866, 'ge': 1031.7302574576079, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.06099999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755304651323731, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925420055231167, 'intensity_gradient_error': 0.10438435625646332, 'intensity_variance_error': 0.12295908776138945, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356116514376737, 'ge': 1031.8817505154047, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.071, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213653477746506, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868201449744356, 'intensity_gradient_error': 0.10437655289090816, 'intensity_variance_error': 0.12294131623337412, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360266814427171, 'ge': 1031.7291442894611, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.08099999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213632965811898, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016867642218223646, 'intensity_gradient_error': 0.10437579654986127, 'intensity_variance_error': 0.12294037147947931, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360178751765324, 'ge': 1031.7295799813876, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.09099999999999998, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.7552984224832, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925767935702914, 'intensity_gradient_error': 0.10438482744284833, 'intensity_variance_error': 0.12295967722369941, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.135617137726955, 'ge': 1031.8814658096214, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755287241131756, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926392514010676, 'intensity_gradient_error': 0.10438638678195689, 'intensity_variance_error': 0.12296073556684592, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356269875999465, 'ge': 1031.8809546842585, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
