{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 0.5, 'error1': 793.4521171355791, 'error2': 0.04889488192016909, 'error3': 44.57619922881876}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.0, 'error1': 818.1142719199339, 'error2': 0.048314800236248685, 'error3': 228.0916471863884}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.5, 'error1': 793.7504456416721, 'error2': 0.052706816896916316, 'error3': 242.7723273890875}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.0, 'error1': 806.990417239373, 'error2': 0.05397279300880128, 'error3': 290.49884390758456}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.5, 'error1': 786.4979744408456, 'error2': 0.05722033301872711, 'error3': 295.8590289328433}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.0, 'error1': 763.5737589738985, 'error2': 0.056967518436673616, 'error3': 287.4261198262233}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.5, 'error1': 697.3864275505734, 'error2': 0.05557296221138574, 'error3': 245.50616480381436}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.0, 'error1': 656.9146663558527, 'error2': 0.05623128884857653, 'error3': 227.57264043254267}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.5, 'error1': 661.9149920155044, 'error2': 0.055312327998610446, 'error3': 239.28288228918464}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.0, 'error1': 617.507153550081, 'error2': 0.05652309840436407, 'error3': 183.15496990454096}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.5, 'error1': 605.1886324217384, 'error2': 0.05671417766339735, 'error3': 173.07563691313962}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 6.0, 'error1': 581.278412267953, 'error2': 0.05714554992494683, 'error3': 165.77364088754686}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 6.5, 'error1': 594.5083523093559, 'error2': 0.05679375163273362, 'error3': 158.61991131244667}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 7.0, 'error1': 598.0143642311211, 'error2': 0.05658417670354166, 'error3': 165.95628089231113}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 7.5, 'error1': 599.5760470308543, 'error2': 0.056794899010819015, 'error3': 158.56390912244476}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 0.5, 'error1': 913.885724595, 'error2': 0.015090677092742298, 'error3': 11.556171524869276}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 1.0, 'error1': 841.6547107457058, 'error2': 0.04725995686757468, 'error3': 85.14341320198822}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 1.5, 'error1': 791.4329214297583, 'error2': 0.05021423349896253, 'error3': 199.28741192515267}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 2.0, 'error1': 813.2902105605915, 'error2': 0.05011587766160249, 'error3': 275.15239933265366}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 2.5, 'error1': 783.7385637910684, 'error2': 0.0534900895679719, 'error3': 284.8059048514878}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.0, 'error1': 756.8496777888972, 'error2': 0.05730914724102351, 'error3': 275.18952691204885}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.5, 'error1': 747.9088820445287, 'error2': 0.056623063485822994, 'error3': 286.88645730668213}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.0, 'error1': 693.9191757885932, 'error2': 0.055727412651703556, 'error3': 257.86696964328286}
