{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 0.5, 'error1': 765.2215009926801, 'error2': 0.02687145295343064, 'error3': 28.126159674058222}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.0, 'error1': 753.1691588955257, 'error2': 0.025672163814618305, 'error3': 136.7002756490191}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.5, 'error1': 710.7686207442238, 'error2': 0.02941521064711678, 'error3': 114.62545171296436}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.0, 'error1': 751.332527404234, 'error2': 0.030840684845625417, 'error3': 103.35152983097353}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.5, 'error1': 756.1757176253483, 'error2': 0.03251898919878456, 'error3': 106.40188136298143}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.0, 'error1': 767.6491549066648, 'error2': 0.03327332403523458, 'error3': 94.09614599753125}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.5, 'error1': 729.2931286016817, 'error2': 0.033347657148975494, 'error3': 64.48718518935782}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.0, 'error1': 700.6642370724833, 'error2': 0.03405742641739623, 'error3': 62.03025357863972}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.5, 'error1': 674.3723385143974, 'error2': 0.034677022260508596, 'error3': 58.23703079533187}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.0, 'error1': 660.2548095620343, 'error2': 0.03484008898530269, 'error3': 54.88246532900836}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.5, 'error1': 629.7885138979264, 'error2': 0.03512227378666692, 'error3': 54.7642139425591}
