{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 0.5, 'error1': 1251.9527612742602, 'error2': 0.03514067277282413, 'error3': 107.50051339004393}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.0, 'error1': 1758.655103403025, 'error2': 0.02908678581673267, 'error3': 145.35365075253938}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.5, 'error1': 1187.645396229806, 'error2': 0.029545866990282114, 'error3': 116.91275216328684}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.0, 'error1': 1093.1001045262951, 'error2': 0.03024483615524428, 'error3': 118.56366829052949}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.5, 'error1': 1235.0739298760782, 'error2': 0.03123522454661799, 'error3': 121.22401543055823}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.0, 'error1': 1258.391018147403, 'error2': 0.03099802518340568, 'error3': 128.38211377801318}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.5, 'error1': 1623.787346813823, 'error2': 0.031229707635209325, 'error3': 119.38860684808145}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.0, 'error1': 1746.9593178832424, 'error2': 0.03133603536599134, 'error3': 131.16812628782586}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.5, 'error1': 1716.127765581684, 'error2': 0.03123942522917501, 'error3': 144.48777431385182}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.0, 'error1': 1314.6934004036323, 'error2': 0.03142254807926885, 'error3': 149.19265162265012}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.5, 'error1': 1383.0825648233274, 'error2': 0.03166120712173732, 'error3': 160.2369350383896}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 6.0, 'error1': 1515.1144760805537, 'error2': 0.03145791518607636, 'error3': 160.69000537932047}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 6.5, 'error1': 1385.2712916553228, 'error2': 0.031161794411217834, 'error3': 152.6284646455975}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 7.0, 'error1': 1428.2084779628503, 'error2': 0.03143725787681715, 'error3': 156.29758714393125}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 7.5, 'error1': 1412.7128287211679, 'error2': 0.03158957959025082, 'error3': 152.22919617361592}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 0.5, 'error1': 1710.7123028038343, 'error2': 0.06452139547086712, 'error3': 95.47240802422961}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 1.0, 'error1': 1133.7521103611966, 'error2': 0.03992566922830385, 'error3': 202.86469148067567}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 1.5, 'error1': 1116.912260082784, 'error2': 0.034268610180068354, 'error3': 161.34419858542128}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 2.0, 'error1': 1135.6110580408183, 'error2': 0.03274840721722429, 'error3': 151.29309925015642}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 2.5, 'error1': 1980.6083264605231, 'error2': 0.03264109129465779, 'error3': 132.51414515993173}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.0, 'error1': 1672.6315981020568, 'error2': 0.03249961520198073, 'error3': 152.11816410595006}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.5, 'error1': 1586.595974482159, 'error2': 0.03249571569139947, 'error3': 163.31686176186946}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.0, 'error1': 1513.039238552786, 'error2': 0.03190291547926592, 'error3': 157.13096889870215}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.5, 'error1': 1526.2865605674162, 'error2': 0.031801354949261396, 'error3': 152.2992005805034}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.0, 'error1': 1569.1491472951789, 'error2': 0.03131967797713209, 'error3': 154.46865294292627}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.5, 'error1': 1577.5626250489076, 'error2': 0.031550205956362126, 'error3': 152.43276237347823}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.0, 'error1': 1435.2412949155716, 'error2': 0.03153886736332074, 'error3': 160.0831702309314}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.5, 'error1': 1436.149663788412, 'error2': 0.03177469162179606, 'error3': 157.8859199026855}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.0, 'error1': 1379.2018578986094, 'error2': 0.031468731381658586, 'error3': 151.89302534732164}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.5, 'error1': 1451.1191206519675, 'error2': 0.03138337362422752, 'error3': 137.43521377373386}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 0.5, 'error1': 1725.726996809055, 'error2': 0.06320262949563797, 'error3': 86.46684183786748}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.0, 'error1': 1295.0955647769376, 'error2': 0.06147385677907443, 'error3': 144.91084621771273}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.5, 'error1': 1348.618452687397, 'error2': 0.04144211505701039, 'error3': 212.7089907028469}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 2.0, 'error1': 1491.9792120964996, 'error2': 0.03751387010648964, 'error3': 192.02347952462708}
