{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 0.5, 'error1': 1808.5522106619649, 'error2': 0.05003805837162519, 'error3': 148.06512801114815}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.0, 'error1': 1425.398319667324, 'error2': 0.01615703372074349, 'error3': 105.4976201410293}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 1.5, 'error1': 1450.5940171552343, 'error2': 0.013060926516747307, 'error3': 134.30438243693985}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.0, 'error1': 1463.80742104836, 'error2': 0.014782638456644334, 'error3': 223.40581186503084}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 2.5, 'error1': 1414.2385182938494, 'error2': 0.018207369065698198, 'error3': 456.3981748027268}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.0, 'error1': 1437.7244066292383, 'error2': 0.020394145730105687, 'error3': 516.2644559151505}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 3.5, 'error1': 1368.8758426363254, 'error2': 0.02277974338574227, 'error3': 512.615393549003}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.0, 'error1': 1393.8165463039254, 'error2': 0.022317632369174313, 'error3': 416.9614124361924}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 4.5, 'error1': 1412.5188547214048, 'error2': 0.02174390489977691, 'error3': 389.24140883837384}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.0, 'error1': 1446.3973520115783, 'error2': 0.02136182368537843, 'error3': 281.6954163919899}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 5.5, 'error1': 1470.2206075973295, 'error2': 0.021155154680486205, 'error3': 261.27972128376524}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 6.0, 'error1': 1466.721060678317, 'error2': 0.021142436616227334, 'error3': 267.86412404627885}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 6.5, 'error1': 1543.9784648998188, 'error2': 0.02167410907839218, 'error3': 367.12259764918645}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 7.0, 'error1': 1587.1243637217367, 'error2': 0.021846575208479112, 'error3': 422.59216677233235}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 0.5, 'xy_weight': 7.5, 'error1': 1590.0128891123927, 'error2': 0.022753180615416806, 'error3': 459.436928281811}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 0.5, 'error1': 1793.0310298582722, 'error2': 0.07771253040527401, 'error3': 179.23492927205854}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 1.0, 'error1': 1465.043549665879, 'error2': 0.02152017554440714, 'error3': 70.9366583403407}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 1.5, 'error1': 1429.9072990629243, 'error2': 0.01758639445995878, 'error3': 110.86292956751716}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 2.0, 'error1': 1477.386373182857, 'error2': 0.019670313884835148, 'error3': 369.85168619388276}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 2.5, 'error1': 1401.4403500017793, 'error2': 0.021689704830453856, 'error3': 551.3341780160774}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.0, 'error1': 1463.7325683867205, 'error2': 0.02388368284596778, 'error3': 642.3259657541612}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.5, 'error1': 1348.8255162842656, 'error2': 0.026143325169421132, 'error3': 597.0558717501758}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.0, 'error1': 1297.1088557134344, 'error2': 0.025576075690926493, 'error3': 449.7992533317109}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.5, 'error1': 1301.769283770649, 'error2': 0.02473180928041653, 'error3': 377.5505905125736}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.0, 'error1': 1319.9456518104084, 'error2': 0.02452610499861931, 'error3': 296.6537047934653}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.5, 'error1': 1362.7445097371908, 'error2': 0.023879986554498186, 'error3': 286.76041438351143}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.0, 'error1': 1414.9626904149975, 'error2': 0.023608648824246355, 'error3': 264.50657093884166}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.5, 'error1': 1451.724648623186, 'error2': 0.023785447053919582, 'error3': 298.6939972282299}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.0, 'error1': 1561.5880990286114, 'error2': 0.023408888475721385, 'error3': 340.2469676091012}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.5, 'error1': 1616.9347362410542, 'error2': 0.02467847869514688, 'error3': 410.49650821093996}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 0.5, 'error1': 1743.0327749182416, 'error2': 0.12627774123317695, 'error3': 316.3272553775963}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.0, 'error1': 1723.621311687727, 'error2': 0.02849673959775865, 'error3': 183.6911510192214}
