Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7179317240521756
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7179317240521756
Running with bandwidths: [0.15000000000000002, 0.15000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7083837577764012
Running with bandwidths: [0.3500000000000001, 0.3500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7138538744991612
Running with bandwidths: [0.25000000000000006, 0.25000000000000006] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.6926397532834574
Running with bandwidths: [0.45000000000000007, 0.45000000000000007] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7431400367827095
Running with bandwidths: [0.40000000000000013, 0.40000000000000013] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7112644141336373
Running with bandwidths: [0.5000000000000001, 0.5000000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7491956671635673
Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7511684184093506
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7511684184093506
Running with bandwidths: [0.15000000000000002, 0.15000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7463375999024564
Running with bandwidths: [0.5500000000000002, 0.5500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7896026865336057
Running with bandwidths: [0.3500000000000001, 0.3500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7411985337877443
Running with bandwidths: [0.20000000000000004, 0.20000000000000004] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.688569568744824
Running with bandwidths: [0.25000000000000006, 0.25000000000000006] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7336400926315814
Running with bandwidths: [0.1, 0.1] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7179317240521756
Running with bandwidths: [0.8500000000000002, 0.8500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7713443325545815
Running with bandwidths: [0.9000000000000002, 0.9000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7654228201385753
Running with bandwidths: [0.6500000000000001, 0.6500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7988791318721107
Running with bandwidths: [0.30000000000000004, 0.30000000000000004] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7026973067077456
Running with bandwidths: [0.7000000000000002, 0.7000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7512350389219677
Running with bandwidths: [0.40000000000000013, 0.40000000000000013] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7486288745621492
Running with bandwidths: [0.6000000000000002, 0.6000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.809791227926885
Running with bandwidths: [0.8000000000000002, 0.8000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7685754535790572
Running with bandwidths: [0.7500000000000002, 0.7500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7661284844652143
Running with bandwidths: [0.45000000000000007, 0.45000000000000007] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7536953940882627
Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.7857019277739021
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.7857019277739021
Running with bandwidths: [0.15000000000000002, 0.15000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.775777653046047
Running with bandwidths: [0.3500000000000001, 0.3500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.7682086645003747
Running with bandwidths: [0.5000000000000001, 0.5000000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.772528886046793
Running with bandwidths: [0.25000000000000006, 0.25000000000000006] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.758667523363239
Running with bandwidths: [0.20000000000000004, 0.20000000000000004] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.738304428865808
Running with bandwidths: [0.5500000000000002, 0.5500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.783050285619117
Running with bandwidths: [0.1, 0.1] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7511684184093506
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.8137094821715654
Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.8137094821715654
Running with bandwidths: [0.40000000000000013, 0.40000000000000013] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.7571693958950045
Running with bandwidths: [0.30000000000000004, 0.30000000000000004] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7408210559848167
Running with bandwidths: [0.15000000000000002, 0.15000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.804034320033954
Running with bandwidths: [0.3500000000000001, 0.3500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.7963530592461443
Running with bandwidths: [0.9500000000000003, 0.9500000000000003] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.0,  Error: 1.7617462924567515
Running with bandwidths: [0.45000000000000007, 0.45000000000000007] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.7761311144641392
